snapped_at,price,market_cap,total_volume
2016-11-18 00:00:00 UTC,0.0149576,0,5811
2016-11-19 00:00:00 UTC,0.0132959,0,8107
2016-11-20 00:00:00 UTC,0.0144166,0,4618
2016-11-21 00:00:00 UTC,0.0141089,0,3754
2016-11-22 00:00:00 UTC,0.0137398,0,6002
2016-11-23 00:00:00 UTC,0.0131764,0,2299
2016-11-24 00:00:00 UTC,0.0114694,0,1616
2016-11-25 00:00:00 UTC,0.0122847,0,3746
2016-11-26 00:00:00 UTC,0.0113843,0,4630
2016-11-27 00:00:00 UTC,0.0111336,0,3872
2016-11-28 00:00:00 UTC,0.0121469,0,5160
2016-11-29 00:00:00 UTC,0.0106149,7228842,7356
2016-11-30 00:00:00 UTC,0.0136283,9280994,18059
2016-12-01 00:00:00 UTC,0.0128725,8766288,6161
